Identifier,Insecurity,Start_date,End_date,Number _of_deaths,State
IBD031349,"Food Poisoning, FCT (Abuja)",5/12/2024,5/12/2024,2,FCT
IBD031342,"Auto Crash, Oyo",5/12/2024,5/12/2024,1,Oyo
IBD031359,"Community Leader, Delta",5/12/2024,5/12/2024,1,Delta
IBD031341,"Auto Crash, Oyo",5/12/2024,5/12/2024,6,Oyo
IBD031344,"Police vs Kidnappers, Akwa Ibom",5/12/2024,5/12/2024,2,Akwa Ibom
IBD031324,"Ex- NLC Chairman, Edo",4/12/2024,4/12/2024,1,Edo
IBD031333,"Well Digger Dies, Ogun",4/12/2024,4/12/2024,1,Ogun
IBD031330,"Police vs Kidnapper, Rivers",4/12/2024,4/12/2024,1,Rivers
IBD031397,"Mother vs Child, Delta",4/12/2024,4/12/2024,1,Delta
IBD031325,"Lakurawa Explosion, Zamfara",4/12/2024,4/12/2024,11,Zamfara
IBD031323,"Auto Crash, Yobe",3/12/2024,3/12/2024,12,Yobe
PAR012705,"Assailants Kill Businessman, Delta",3/12/2024,3/12/2024,1,Delta
IBD031412,"Lady Dies, Ogun",3/12/2024,3/12/2024,1,Ogun
IBD031316,"Gunmen Kill 9, Sokoto",2/12/2024,2/12/2024,9,Sokoto
IBD031314,"Inferno, Osun",2/12/2024,2/12/2024,6,Osun
IBD031327,"Corpses Found, Imo",2/12/2024,2/12/2024,10,Imo
IBD031318,"Kidnappers vs Policeman, Nasarawa",2/12/2024,2/12/2024,1,Nasarawa
PAR012724,"Kidnappers Kill 2 Children, Katsina",1/12/2024,1/12/2024,2,Katsina
IBD031389,"Spiritual Cleansing, Niger",1/12/2024,1/12/2024,1,Niger
IBD031309,"Banditry, Zamfara",1/12/2024,1/12/2024,40,Zamfara
IBD031312,"Security Operative, Ogun",1/12/2024,1/12/2024,1,Ogun
IBD031320,"Armed Robbers vs Guard, Ogun",1/12/2024,1/12/2024,1,Ogun
IBD031321,"Commercial Rider vs Man, Ogun",1/12/2024,1/12/2024,1,Ogun
IBD031326,"Lakurawa Explosion, Zamfara",1/12/2024,1/12/2024,1,Zamfara
IBD031308,"Kidnappers vs Vigilante, Plateau",1/12/2024,1/12/2024,1,Plateau
IBD031319,"Land Dispute, Osun",30/11/2024,30/11/2024,1,Osun
IBD031304,"Gunmen Attack, Abia",29/11/2024,29/11/2024,2,Abia
IBD031331,"Community Leader, Delta",29/11/2024,29/11/2024,1,Delta
IBD031360,"Domestic Violence, Bayelsa",29/11/2024,29/11/2024,1,Bayelsa
IBD031310,"Banditry, Zamfara",29/11/2024,29/11/2024,1,Zamfara
IBD031348,"Farmer Killed, Oyo",28/11/2024,28/11/2024,1,Oyo
IBD031317,"Gunmen vs Pastor, Kogi",28/11/2024,28/11/2024,1,Kogi
IBD031315,"Gunmen vs Man, Anambra",28/11/2024,28/11/2024,1,Anambra
IBD031303,"Mob vs Cult Members, Plateau",28/11/2024,28/11/2024,2,Plateau
IBD031305,"Security Operatives Kills One, Delta",27/11/2024,27/11/2024,1,Delta
IBD031306,"Army vs Boko Haram, Yobe",27/11/2024,27/11/2024,5,Yobe
IBD031307,"Police vs Kidnappers, Anambra",27/11/2024,27/11/2024,1,Anambra
IBD031357,"Land Grabbers vs Man, Ogun",27/11/2024,27/11/2024,1,Ogun
IBD031555,"Domestic Violence, FCT (Abuja)",27/11/2024,27/11/2024,1,FCT
IBD031584,"Assailants vs Herder, FCT (Abuja)",27/11/2024,27/11/2024,1,FCT
IBD031302,"Boat Mishap, Kogi",27/11/2024,27/11/2024,23,Kogi
IBD031300,"Suspected Herdsmen Attacks, Ogun",27/11/2024,27/11/2024,1,Ogun
IBD031311,"Inferno, Lagos",26/11/2024,26/11/2024,4,Lagos
IBD031297,"Herdsmen Attack, Benue",25/11/2024,25/11/2024,10,Benue
IBD031298,"Security Operatives vs IPOB/ESN, Imo",25/11/2024,25/11/2024,40,Imo
IBD031313,"Student Mother, Delta",25/11/2024,25/11/2024,1,Delta
IBD031295,"Customs vs Smugglers, Ogun",25/11/2024,25/11/2024,1,Ogun
IBD031283,"Gunmen Kill 10, Benue",24/11/2024,24/11/2024,10,Benue
IBD031282,"Gunmen vs Vigilantes, Anambra",24/11/2024,24/11/2024,1,Anambra
IBD031273,"Herdsmen Attack, Benue",24/11/2024,24/11/2024,17,Benue
IBD031286,"Communal Clash, Kogi",24/11/2024,24/11/2024,1,Kogi
IBD031281,"Church Stampede, Abia",24/11/2024,24/11/2024,4,Abia
IBD031280,"Soldiers vs Boko Haram, Borno",24/11/2024,24/11/2024,12,Borno
IBD031284,"Army vs IPOB/ESN, Abia",24/11/2024,24/11/2024,8,Abia
IBD031288,"Auto Crash, Ogun",24/11/2024,24/11/2024,1,Ogun
IBD031274,"Farmer vs Thief, Ondo",23/11/2024,23/11/2024,2,Ondo
IBD031291,"NAF vs Boko Haram, Borno",23/11/2024,23/11/2024,40,Borno
IBD031401,"Ritual Killing, Delta",23/11/2024,23/11/2024,1,Delta
IBD031294,"Gunmen vs Driver, Akwa Ibom",23/11/2024,23/11/2024,1,Akwa Ibom
IBD031277,"Auto Crash, Kaduna",23/11/2024,23/11/2024,8,Kaduna
IBD031293,"Boat Accident, Delta",23/11/2024,23/11/2024,5,Delta
IBD031278,"Security Operatives vs Robber, Anambra",22/11/2024,22/11/2024,1,Anambra
IBD031289,"Banditry, FCT (Abuja)",22/11/2024,22/11/2024,9,FCT
IBD031272,"Mob vs Revenue Agents, Anambra",22/11/2024,22/11/2024,3,Anambra
IBD031287,"Cult Killing, Delta",22/11/2024,22/11/2024,2,Delta
IBD031268,"Baby Found Dead, Niger",21/11/2024,21/11/2024,1,Niger
IBD031299,"Police Inspector, Adamawa",21/11/2024,21/11/2024,1,Adamawa
IBD031409,"Assailants vs Man, Oyo",20/11/2024,20/11/2024,1,Oyo
IBD031263,"Auto Crash, Ogun",20/11/2024,20/11/2024,2,Ogun
IBD031269,"Auto Crash, Ogun",20/11/2024,20/11/2024,1,Ogun
IBD031279,"Vigilantes/Hunders vs Kidnappers, FCT (Abuja)",20/11/2024,20/11/2024,1,FCT
IBD031270,"Vigilantes vs Police, Anambra",20/11/2024,20/11/2024,2,Anambra
IBD031296,"Police vs Robbers, Delta",20/11/2024,20/11/2024,2,Delta
IBD031260,"Police vs Soldiers, Ebonyi",20/11/2024,20/11/2024,1,Ebonyi
IBD031275,"Banditry, Kaduna",20/11/2024,20/11/2024,13,Kaduna
IBD031265,"Gunmen vs Lawyer, Benue",20/11/2024,20/11/2024,1,Benue
IBD031262,"Gunmen Kill Policemen, Abia",19/11/2024,19/11/2024,2,Abia
IBD031267,"Classmates vs Girl, Kogi",19/11/2024,19/11/2024,1,Kogi
IBD031301,"Kidnappers Kill Victim, Plateau",19/11/2024,19/11/2024,1,Plateau
IBD031256,"NSCDC vs Boko Haram, Kaduna",19/11/2024,19/11/2024,53,Kaduna
IBD031254,"Banditry, Bauchi",19/11/2024,19/11/2024,1,Bauchi
IBD031292,"Work-Related Violence, Taraba",19/11/2024,26/11/2024,3,Taraba
IBD031253,"Boko Haram vs Army, Borno",19/11/2024,19/11/2024,32,Borno
IBD031241,"Gunmen Attack, Anambra",18/11/2024,18/11/2024,3,Anambra
IBD031271,"Drowns, Lagos",18/11/2024,18/11/2024,1,Lagos
IBD031257,"Auto Crash, FCT (Abuja)",18/11/2024,18/11/2024,3,FCT
IBD031266,"Herders vs Farmers, Nasarawa",18/11/2024,18/11/2024,3,Nasarawa
IBD031242,"Gunmen Attack, Anambra",18/11/2024,18/11/2024,2,Anambra
IBD031276,"Assailants vs Motorcyclist, Kwara",18/11/2024,18/11/2024,1,Kwara
IBD031258,"Corpse Found, FCT (Abuja)",18/11/2024,18/11/2024,1,FCT
IBD031248,"Auto Crash, FCT (Abuja)",17/11/2024,17/11/2024,2,FCT
IBD031261,"Mob vs Bike Thief, FCT (Abuja)",17/11/2024,17/11/2024,1,FCT
IBD031245,Ritual Killing Delta,17/11/2024,17/11/2024,1,Delta
IBD031243,"Gunmen vs Police, Abia",17/11/2024,17/11/2024,1,Abia
IBD031246,"Herders vs Farmer, Kano",17/11/2024,17/11/2024,1,Kano
IBD031255,"Motorcyclist, Rivers",17/11/2024,17/11/2024,1,Rivers
IBD031234,"Baby Corpe, Bauchi",17/11/2024,17/11/2024,1,Bauchi
IBD031240,"Corpse Found, Anambra",16/11/2024,16/11/2024,1,Anambra
IBD031251,"Boko Haram vs Soldiers, Borno",16/11/2024,16/11/2024,18,Borno
IBD031239,"Man vs Neighbour, Kwara",16/11/2024,16/11/2024,1,Kwara
IBD031233,"Auto Crash, Lagos",16/11/2024,16/11/2024,1,Lagos
IBD031238,"Man Drowns, Kano",16/11/2024,16/11/2024,1,Kano
IBD031252,"Bandits vs Farmers, Taraba",16/11/2024,16/11/2024,1,Taraba
IBD031235,"Police vs Kidnapper, Rivers",15/11/2024,15/11/2024,1,Rivers
IBD031244,"Security Operatives Kills One, Niger",15/11/2024,15/11/2024,1,Niger
IBD031236,"NAF vs Bandits, Zamfara",15/11/2024,15/11/2024,50,Zamfara
IBD031230,"Cult Killings, Benue",15/11/2024,16/11/2024,4,Benue
IBD031231,"Electricity Vandal, Ebonyi",14/11/2024,14/11/2024,1,Ebonyi
IBD031247,"Cult Killing, Benue",14/11/2024,14/11/2024,1,Benue
IBD031473,"Police Brutality, Delta",14/11/2024,14/11/2024,1,Delta
IBD031322,"Banditary, Kaduna",14/11/2024,14/11/2024,1,Kaduna
IBD031625,"Extra-Judicial Killing, Abia",13/11/2024,13/11/2024,1,Abia
IBD031226,"Auto Crash, Osun",13/11/2024,13/11/2024,1,Osun
IBD031219,"Gunmen vs Soldier, Abia",13/11/2024,13/11/2024,2,Abia
IBD031211,"Auto Crash, Jigawa",12/11/2024,12/11/2024,11,Jigawa
IBD031228,"Auto Crash, Jigawa",12/11/2024,12/11/2024,3,Jigawa
IBD031250,"NAF vs Terrorists, Kaduna",12/11/2024,12/11/2024,50,Kaduna
IBD031222,"Banditry, Kaduna",12/11/2024,12/11/2024,1,Kaduna
IBD031225,"Hoodlums vs Man, Ogun",12/11/2024,12/11/2024,1,Ogun
IBD031213,"Communal Clash, Delta",11/11/2024,11/11/2024,2,Delta
IBD031224,"Banditry, Kaduna",11/11/2024,11/11/2024,3,Kaduna
IBD031223,"Assailant vs Man, Ogun",11/11/2024,11/11/2024,1,Ogun
IBD031208,"Cult Killing, Edo",11/11/2024,11/11/2024,1,Edo
IBD031217,"Auto Crash, Akwa Ibom",11/11/2024,11/11/2024,3,Akwa Ibom
IBD031216,Banditry Katsina,11/11/2024,11/11/2024,2,Katsina
IBD031206,"Gunmen Attack, Ogun",11/11/2024,11/11/2024,2,Ogun
IBD031209,"Assailants vs Herder, Plateau",10/11/2024,10/11/2024,1,Plateau
IBD031210,"Auto Crash, Abia",10/11/2024,10/11/2024,2,Abia
IBD031203,"Auto Crash, Lagos",10/11/2024,10/11/2024,4,Lagos
IBD031220,"Gunmen vs Students, Delta",10/11/2024,10/11/2024,2,Delta
IBD031204,"Boko Haram Attack, Borno",10/11/2024,10/11/2024,3,Borno
IBD031207,"Young Men Drown, Ekiti",10/11/2024,10/11/2024,4,Ekiti
IBD031193,"Auto Crash, Katsina",9/11/2024,9/11/2024,14,Katsina
IBD031237,"Mob vs Bandits, Kaduna",9/11/2024,9/11/2024,3,Kaduna
IBD031188,"Communal Clash, Ebonyi",9/11/2024,9/11/2024,3,Ebonyi
IBD031198,"Auto Crash, Sokoto",9/11/2024,9/11/2024,15,Sokoto
IBD031199,"Mob vs Burglar, Rivers",9/11/2024,9/11/2024,1,Rivers
IBD031212,"Miners, Plateau",9/11/2024,9/11/2024,13,Plateau
IBD031201,"Soldiers vs Bandits, Kaduna",9/11/2024,9/11/2024,3,Kaduna
IBD031192,"Domestic Violence, Adamawa",8/11/2024,8/11/2024,1,Adamawa
IBD031197,"Bandits vs Security Operatives, Katsina",8/11/2024,8/11/2024,2,Katsina
IBD031202,"Auto Crash, Ekiti",8/11/2024,8/11/2024,1,Ekiti
IBD031557,"Assaliants va Man, Ebonyi",8/11/2024,8/11/2024,1,Ebonyi
IBD031195,"Lakurawa Kills 15, Kebbi",8/11/2024,8/11/2024,16,Kebbi
IBD031190,"NAF vs Terrorists, Zamfara",8/11/2024,8/11/2024,50,Zamfara
IBD031186,"NAF vs ISWAP, Borno",8/11/2024,8/11/2024,70,Borno
IBD031187,"Security Operatives Kill 1, Plateau",7/11/2024,7/11/2024,1,Plateau
IBD031177,"Cult Attack, Rivers",7/11/2024,7/11/2024,1,Rivers
IBD031214,"Assailants vs Man, Kaduna",7/11/2024,7/11/2024,1,Kaduna
IBD031176,"Auto Crash, Lagos",7/11/2024,7/11/2024,1,Lagos
IBD031205,"Robber vs Woman, Adamawa",7/11/2024,7/11/2024,1,Adamawa
IBD031221,"Police Kill 1, FCT (Abuja)",7/11/2024,7/11/2024,1,FCT
IBD031191,"Gunmen Kidnap Chinese Expatriates, Cross River",7/11/2024,7/11/2024,1,Cross River
IBD031185,"Man vs Houseboy, Enugu",6/11/2024,6/11/2024,1,Enugu
IBD031180,"Vigilantes/Hunters vs Kidnappers, Nasarawa",6/11/2024,6/11/2024,10,Nasarawa
IBD031183,"Fulani Militia Attack, Plateau",6/11/2024,6/11/2024,3,Plateau
IBD031182,"Gunmen Kill 3, Plateau",6/11/2024,6/11/2024,3,Plateau
IBD031166,"Security Operatives vs Gunmen, Enugu",6/11/2024,6/11/2024,4,Enugu
IBD031218,"Medical Quackery, Ondo",6/11/2024,6/11/2024,2,Ondo
IBD031194,"Ritual Killing, Imo",6/11/2024,6/11/2024,1,Imo
IBD031167,"Mob vs Robber, Benue",6/11/2024,6/11/2024,1,Benue
IBD031172,"Banditry, Kaduna",5/11/2024,5/11/2024,2,Kaduna
IBD031160,"Rape Victim, Bauchi",5/11/2024,5/11/2024,1,Bauchi
IBD031159,"Bomb Explosion, Imo",5/11/2024,5/11/2024,2,Imo
IBD031196,"Policemen vs Student, Kwara",5/11/2024,5/11/2024,1,Kwara
IBD031163,"Bandits vs Farmers, Niger",5/11/2024,5/11/2024,10,Niger
IBD031184,"Auto Crash, Jigawa",4/11/2024,4/11/2024,2,Jigawa
IBD031179,"Assailant vs Motorcyclist, Kwara",4/11/2024,4/11/2024,1,Kwara
IBD031156,"Building Collapse, Rivers",4/11/2024,4/11/2024,1,Rivers
IBD031158,"Army vs Bandits, Plateau",4/11/2024,4/11/2024,5,Plateau
IBD031181,"Herders vs Farmers, Edo",4/11/2024,4/11/2024,3,Edo
IBD031290,"Artisans, Edo",4/11/2024,4/11/2024,2,Edo
IBD031165,"Dog vs Security Guard, Lagos",4/11/2024,4/11/2024,1,Lagos
IBD031157,"Cult Clash, Benue",4/11/2024,5/11/2024,4,Benue
IBD031150,"Electrocution, Gombe",3/11/2024,3/11/2024,1,Gombe
IBD031142,"Auto Crash, Lagos",3/11/2024,3/11/2024,1,Lagos
IBD031147,"Gunmen Attack, Niger",3/11/2024,3/11/2024,1,Niger
IBD031161,"Army vs Bandits, Borno",3/11/2024,3/11/2024,24,Borno
IBD031135,"Auto Crash, Lagos",3/11/2024,3/11/2024,1,Lagos
IBD031151,"Gunmen Kill 1, Bauchi",3/11/2024,3/11/2024,1,Bauchi
IBD031148,"Gunmen Kill Man, Plateau",3/11/2024,3/11/2024,1,Plateau
IBD031155,"Army vs Boko Haram, Borno",3/11/2024,3/11/2024,25,Borno
IBD031152,"Cult Clash, Lagos",3/11/2024,3/11/2024,1,Lagos
IBD031143,"Man vs Scavenger, Enugu",3/11/2024,3/11/2024,1,Enugu
IBD031162,"Auto Crash, Niger",2/11/2024,2/11/2024,6,Niger
IBD031134,"Scavengers vs Man, FCT (Abuja)",2/11/2024,2/11/2024,1,FCT
IBD031138,"Boko Haram Attack, Borno",2/11/2024,2/11/2024,7,Borno
IBD031132,"Gunmen vs Farmer, Ebonyi",2/11/2024,2/11/2024,3,Ebonyi
IBD031133,"Police vs Soldier, Nasarawa",2/11/2024,2/11/2024,3,Nasarawa
IBD031140,"Man vs Youth, Abia",2/11/2024,2/11/2024,1,Abia
IBD031154,"Man Drowns, Kano",2/11/2024,2/11/2024,1,Kano
IBD031137,"Extrajudicial Killing, Anambra",2/11/2024,2/11/2024,1,Anambra
IBD031139,"Auto Crash, Ogun",2/11/2024,2/11/2024,2,Ogun
IBD031170,"Hoodlums vs Cyclist, FCT (Abuja)",2/11/2024,2/11/2024,1,FCT
IBD031126,"Communal Clash, Benue",2/11/2024,2/11/2024,6,Benue
IBD031200,"NAF vs Boko Haram/ISWAP, Borno",1/11/2024,8/11/2024,87,Borno
IBD031144,"Army vs Bandits, Niger",1/11/2024,1/11/2024,40,Niger
IBD031136,"Domestic Violence, Ogun",1/11/2024,1/11/2024,1,Ogun
IBD031171,"Man vs KEDCO Staff, Kano",1/11/2024,1/11/2024,1,Kano
IBD031420,"Auto Crash, Edo",1/11/2024,30/11/2024,13,Edo
IBD031125,"Herdsmen Attack, Benue",1/11/2024,2/11/2024,6,Benue
IBD031128,"Terrorists vs Vigilantes, Niger",31/10/2024,31/10/2024,13,Niger
IBD031264,"Gunmen Attack, Anambra",31/10/2024,31/10/2024,3,Anambra
IBD031117,"Building Collapse, Oyo",31/10/2024,31/10/2024,13,Oyo
IBD031124,"Auto Crash, Kwara",31/10/2024,31/10/2024,1,Kwara
IBD031149,"Domestic Violence, Osun",31/10/2024,31/10/2024,1,Osun
IBD031130,"Police vs Bandits, Bauchi",31/10/2024,31/10/2024,6,Bauchi
IBD031141,"Gunmen Kill 2, Plateau",30/10/2024,30/10/2024,2,Plateau
IBD031123,"Cult War, Edo",30/10/2024,30/10/2024,1,Edo
IBD031120,"Gunmen Kills 3, Abia",30/10/2024,30/10/2024,3,Abia
IBD031118,"Vigilantes vs Bandits, Plateau",30/10/2024,30/10/2024,4,Plateau
IBD031116,"Herders vs Farmers, Benue",30/10/2024,30/10/2024,16,Benue
IBD031129,"Domestic Violence, Oyo",30/10/2024,30/10/2024,1,Oyo
IBD031119,"Food Poisoning, Edo",30/10/2024,30/10/2024,5,Edo
IBD031111,"Auto Crash, Niger",29/10/2024,29/10/2024,2,Niger
IBD031113,"Hoodlums vs Man, Ebonyi",29/10/2024,29/10/2024,1,Ebonyi
IBD031131,"Police vs IPOB/ESN, Imo",29/10/2024,29/10/2024,1,Imo
IBD031108,"Assailants vs Woman, Delta",29/10/2024,29/10/2024,1,Delta
IBD031112,"Mob vs Armed Robber, FCT (Abuja)",29/10/2024,29/10/2024,1,FCT
IBD031107,"Man vs Woman, Ondo",28/10/2024,28/10/2024,1,Ondo
IBD031831,"Assailants vs Man, Anambra",28/10/2024,28/10/2024,1,Anambra
IBD031110,"Man Murdered, Ogun",28/10/2024,28/10/2024,1,Ogun
IBD031164,"Police vs Kidnappers, Delta",28/10/2024,28/10/2024,2,Delta
IBD031105,"Domestic Violence, Kano",28/10/2024,28/10/2024,1,Kano
IBD031099,"Bandits vs Farmers, Sokoto",28/10/2024,28/10/2024,4,Sokoto
IBD031098,"Domestic Violence, Benue",27/10/2024,27/10/2024,1,Benue
IBD031095,"Herders vs Farmers, Adamawa",27/10/2024,27/10/2024,7,Adamawa
IBD031102,"Gunmen vs Drummer, Edo",27/10/2024,27/10/2024,1,Edo
IBD031106,"Cult Killing, Edo",27/10/2024,27/10/2024,8,Edo
IBD031096,"Auto Crash, Kwara",26/10/2024,26/10/2024,1,Kwara
IBD031094,"Auto Crash, Lagos",26/10/2024,26/10/2024,1,Lagos
IBD031091,"Auto Crash, Lagos",26/10/2024,26/10/2024,2,Lagos
IBD031100,"Gunmen vs Man, Rivers",26/10/2024,26/10/2024,1,Rivers
IBD031169,"Mining Pit Collapse, Adamawa",26/10/2024,26/10/2024,13,Adamawa
IBD031189,"Mine Collapse, Taraba",26/10/2024,26/10/2024,13,Taraba
IBD031086,"Inferno, Ogun",26/10/2024,26/10/2024,1,Ogun
IBD031097,"NAF vs Terrorists, Borno",25/10/2024,25/10/2024,43,Borno
IBD031088,"Auto Crash, Kaduna",25/10/2024,25/10/2024,13,Kaduna
IBD031103,"Hunter, Ogun",25/10/2024,25/10/2024,1,Ogun
IBD031090,"Teacher vs Student, Ogun",25/10/2024,25/10/2024,1,Ogun
IBD031093,"Build Collapse, FCT (Abuja)",25/10/2024,25/10/2024,7,FCT
IBD031087,"Policeman Kill Musician, Enugu",25/10/2024,25/10/2024,1,Enugu
IBD031084,"Cult Killing , Akwa Ibom",25/10/2024,25/10/2024,1,Akwa Ibom
IBD031081,"Auto Crash, Ebonyi",25/10/2024,25/10/2024,5,Ebonyi
IBD031082,"Auto Crash, Lagos",25/10/2024,25/10/2024,1,Lagos
IBD031080,"Naval Officer vs Colleague, Zamfara",25/10/2024,25/10/2024,1,Zamfara
IBD031101,"Soldiers vs Bandits, Kaduna",25/10/2024,25/10/2024,3,Kaduna
IBD031145,"Witchcraft, Bauchi",25/10/2024,25/10/2024,1,Bauchi
IBD031076,"Cult Killing, Anambra",24/10/2024,24/10/2024,8,Anambra
IBD031092,"Assailant vs Lady, Delta",24/10/2024,24/10/2024,1,Delta
IBD031077,"Auto Crash, FCT (Abuja)",23/10/2024,23/10/2024,1,FCT
IBD031074,"Helicopter Crash, Rivers",23/10/2024,23/10/2024,8,Rivers
IBD031070,"Auto Crash, Lagos",23/10/2024,23/10/2024,1,Lagos
IBD031078,"Farmers vs Herders, Kebbi",23/10/2024,23/10/2024,1,Kebbi
IBD031073,"Auto Crash, Ogun",22/10/2024,22/10/2024,1,Ogun
IBD031068,"Bandits Kill 4 Officers, Katsina",22/10/2024,22/10/2024,6,Katsina
IBD031065,"Auto Crash, Plateau",21/10/2024,21/10/2024,19,Plateau
IBD031085,"Domestic Violence, Gombe",21/10/2024,21/10/2024,1,Gombe
IBD031071,"Army vs IPOB/ESN, Anambra",21/10/2024,21/10/2024,28,Anambra
IBD031059,"Cult Clash, Rivers",21/10/2024,21/10/2024,2,Rivers
IBD031064,"IPOB/ESN Kill 2, Abia",21/10/2024,21/10/2024,2,Abia
IBD031168,"Police vs Armed Robbers, FCT (Abuja)",21/10/2024,21/10/2024,2,FCT
IBD031350,"Bandits vs Army, Zamfara",21/10/2024,21/10/2024,5,Zamfara
IBD031051,"Bandits Kill 2, Zamfara",20/10/2024,20/10/2024,2,Zamfara
IBD031042,"Cult Clash, Anambra",20/10/2024,20/10/2024,20,Anambra
IBD031049,"Vigilante Kill Man, Anambra",20/10/2024,20/10/2024,1,Anambra
IBD031075,"Securitymen Kill Man, Kwara",20/10/2024,20/10/2024,1,Kwara
IBD031057,"Police vs Kidnappers, FCT (Abuja)",20/10/2024,20/10/2024,9,FCT
IBD031060,"Woman Found Dead, FCT (Abuja)",20/10/2024,20/10/2024,1,FCT
IBD031052,"Cult Killing, Rivers",20/10/2024,20/10/2024,5,Rivers
IBD031058,"Bandits Kill Villagers, Niger",20/10/2024,20/10/2024,2,Niger
IBD031053,"Bandits Attack, Katsina",19/10/2024,19/10/2024,2,Katsina
IBD031054,"Ritual Killing, Enugu",19/10/2024,19/10/2024,1,Enugu
IBD031079,"Communal Clash, Edo",19/10/2024,19/10/2024,1,Edo
IBD031045,"Gas Explosion, Ebonyi",19/10/2024,19/10/2024,2,Ebonyi
IBD031046,"Motorcyclists vs Assistant Superintendent, Lagos",19/10/2024,19/10/2024,2,Lagos
IBD031055,"Bandits Kill 2, Katsina",18/10/2024,18/10/2024,2,Katsina
IBD031048,"Auto Crash, Taraba",18/10/2024,18/10/2024,4,Taraba
IBD031089,"Kidnapper Kills One, Gombe",18/10/2024,18/10/2024,1,Gombe
IBD031044,"Mob vs Motorcycle Thief, Delta",18/10/2024,18/10/2024,2,Delta
IBD031047,"Herdsmen Kill 5, Benue",18/10/2024,18/10/2024,5,Benue
IBD031069,"Pregnant Woman, Imo",18/10/2024,18/10/2024,1,Imo
IBD031056,"Assailants vs School Principal, FCT (Abuja)",18/10/2024,18/10/2024,1,FCT
IBD031063,"Assailants vs Legislative Aide, FCT (Abuja)",17/10/2024,17/10/2024,1,FCT
IBD031041,"Police vs Kidnappers, Enugu",17/10/2024,17/10/2024,2,Enugu
IBD031043,"Gunmen vs Police, Edo",17/10/2024,17/10/2024,2,Edo
IBD031034,"Thunder Strike, Kogi",17/10/2024,17/10/2024,1,Kogi
IBD031050,"Bandits vs Herders, Kaduna",17/10/2024,17/10/2024,2,Kaduna
IBD031033,"Auto Crash, Lagos",17/10/2024,17/10/2024,1,Lagos
IBD031038,"Auto Crash, Kogi",17/10/2024,17/10/2024,2,Kogi
IBD031032,"Auto Crash, Ogun",16/10/2024,16/10/2024,2,Ogun
IBD031028,"Boko Haram Attack, Borno",16/10/2024,16/10/2024,2,Borno
IBD031025,"Police vs Robbers, Imo",16/10/2024,16/10/2024,1,Imo
IBD031104,"One Killed, Oyo",16/10/2024,16/10/2024,1,Oyo
IBD031026,"Assailants vs Graduate, Delta",16/10/2024,16/10/2024,1,Delta
IBD031066,"Auto Crash/Inferno, Ogun",16/10/2024,16/10/2024,1,Ogun
IBD031040,"Security Operatives vs Man, Lagos",16/10/2024,16/10/2024,1,Lagos
IBD031035,"Electrocution, Ogun",16/10/2024,16/10/2024,1,Ogun
IBD031022,"Assailants vs Man, Oyo",15/10/2024,15/10/2024,1,Oyo
IBD031037,"Electrocution, FCT (Abuja)",15/10/2024,15/10/2024,1,FCT
IBD031024,"Petrol Tanker Explosion, Jigawa",15/10/2024,15/10/2024,186,Jigawa
IBD031029,"Sex Romp, Niger",15/10/2024,15/10/2024,1,Niger
IBD031061,"Train Crushes Man, Lagos",14/10/2024,14/10/2024,1,Lagos
IBD031017,"Domestic Violence, Lagos",14/10/2024,14/10/2024,1,Lagos
IBD031021,"Gunmen Attack, Plateau",14/10/2024,14/10/2024,5,Plateau
IBD031019,"Army vs Bandits, Kaduna",14/10/2024,14/10/2024,2,Kaduna
IBD031030,"Hoodlums vs Motorcycle Thief, FCT (Abuja)",14/10/2024,14/10/2024,1,FCT
IBD031011,"Auto Crash, Oyo",14/10/2024,14/10/2024,8,Oyo
PAR012672,"Auto Crash, Lagos",13/10/2024,13/10/2024,3,Lagos
IBD031016,"Auto Crash, Lagos",13/10/2024,13/10/2024,3,Lagos
IBD031014,"Inferno, Lagos",13/10/2024,13/10/2024,4,Lagos
IBD031006,"Petty Trader, Nasarawa",13/10/2024,13/10/2024,1,Nasarawa
IBD031012,"Gunmen vs Police Officers, Delta",13/10/2024,13/10/2024,2,Delta
IBD031015,"Building Collapse, Lagos",12/10/2024,12/10/2024,2,Lagos
IBD030995,"Auto Crash, Kaduna",12/10/2024,12/10/2024,1,Kaduna
IBD030972,"Gunmen vs Man, Edo",12/10/2024,12/10/2024,1,Edo
IBD031031,"Auto Crash, FCT (Abuja)",12/10/2024,12/10/2024,1,FCT
IBD018052,"Cultists vs Councillorship Candidate, Ogun",12/10/2024,12/10/2024,1,Ogun
IBD031001,"Gunmen Kill 1, Kwara",12/10/2024,12/10/2024,1,Kwara
IBD031004,"Train Accident, Lagos",12/10/2024,12/10/2024,1,Lagos
IBD031000,"Assailant vs Tricycle Rider, Delta",12/10/2024,12/10/2024,1,Delta
IBD031003,"Sex Worker, Delta",11/10/2024,11/10/2024,1,Delta
IBD031005,"Gunmen vs Miners, Plateau",11/10/2024,11/10/2024,4,Plateau
IBD031013,"Mysterious Death, Lagos",11/10/2024,11/10/2024,1,Lagos
IBD030997,"Man Drowns, Lagos",11/10/2024,11/10/2024,1,Lagos
IBD031008,"Assailants vs Herders, Plateau",10/10/2024,10/10/2024,1,Plateau
IBD031007,"Corpse Found, Kwara",10/10/2024,10/10/2024,1,Kwara
IBD030999,"Auto Crash, Ogun",10/10/2024,10/10/2024,3,Ogun
